"Distance [mm]","Mag_B [mTesla]"
"0.000000","32.9885617721"
"0.303030","29.8905153150"
"0.606061","27.1670562562"
"0.909091","24.7635018400"
"1.212121","22.6344246748"
"1.515152","20.7418862479"
"1.818182","19.0540430208"
"2.121212","17.5440395848"
"2.424242","16.1891244656"
"2.727273","14.9699397241"
"3.030303","13.8699470516"
"3.333333","12.8749616964"
"3.636364","11.9727720558"
"3.939394","11.1528276949"
"4.242424","10.4059823043"
"4.545455","9.7242809870"
"4.848485","9.1007834858"
"5.151515","8.5294166815"
"5.454545","8.0048510371"
"5.757576","7.5223967135"
"6.060606","7.0779159103"
"6.363636","6.6677486435"
"6.666667","6.2886496911"
"6.969697","5.9377348551"
"7.272727","5.6124350231"
"7.575758","5.3104567797"
"7.878788","5.0297485390"
"8.181818","4.7684713429"
"8.484848","4.5249736156"
"8.787879","4.2977692826"
"9.090909","4.0855187581"
"9.393939","3.8870123864"
"9.696970","3.7011559849"
"10.000000","3.5269581963"
"10.303030","3.3635193970"
"10.606061","3.2100219520"
"10.909091","3.0657216330"
"11.212121","2.9299400487"
"11.515152","2.8020579521"
"11.818182","2.6815093149"
"12.121212","2.5677760693"
"12.424242","2.4603834359"
"12.727273","2.3588957635"
"13.030303","2.2629128198"
"13.333333","2.1720664784"
"13.636364","2.0860177548"
"13.939394","2.0044541514"
"14.242424","1.9270872744"
"14.545455","1.8536506938"
"14.848485","1.7838980165"
"15.151515","1.7176011506"
"15.454545","1.6545487398"
"15.757576","1.5945447483"
"16.060606","1.5374071808"
"16.363636","1.4829669242"
"16.666667","1.4310666954"
"16.969697","1.3815600882"
"17.272727","1.3343107055"
"17.575758","1.2891913700"
"17.878788","1.2460834058"
"18.181818","1.2048759825"
"18.484848","1.1654655170"
"18.787879","1.1277551266"
"19.090909","1.0916541290"
"19.393939","1.0570775840"
"19.696970","1.0239458741"
"20.000000","0.9921843192"
"20.303030","0.9617228235"
"20.606061","0.9324955501"
"20.909091","0.9044406224"
"21.212121","0.8774998490"
"21.515152","0.8516184702"
"21.818182","0.8267449240"
"22.121212","0.8028306308"
"22.424242","0.7798297936"
"22.727273","0.7576992142"
"23.030303","0.7363981227"
"23.333333","0.7158880195"
"23.636364","0.6961325296"
"23.939394","0.6770972668"
"24.242424","0.6587497080"
"24.545455","0.6410590765"
"24.848485","0.6239962337"
"25.151515","0.6075335783"
"25.454545","0.5916449522"
"25.757576","0.5763055535"
"26.060606","0.5614918554"
"26.363636","0.5471815296"
"26.666667","0.5333533767"
"26.969697","0.5199872593"
"27.272727","0.5070640409"
"27.575758","0.4945655283"
"27.878788","0.4824744176"
"28.181818","0.4707742441"
"28.484848","0.4594493353"
"28.787879","0.4484847663"
"29.090909","0.4378663192"
"29.393939","0.4275804436"
"29.696970","0.4176142212"
"30.000000","0.4079553307"
